,page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
135,14,6,Html,Taking the right measures to control COVID-19,https://www.thelancet.com/article/S1473-3099(20)30152-3/abstract,4YM6Uiy4l4gJ,"Y Xiao, ME Torok - The Lancet Infectious Diseases, 2020 - thelancet.com","… COVID-19 is an emerging infectious disease of global public health concern. Efforts to control the COVID… Most importantly, we need to communicate the epidemiology and risks of COVID…",307,"https://scholar.google.com/scholar?cites=9842538011139146721&as_sdt=5,41&sciodt=0,41&hl=en",9842538011139146721,10,"https://scholar.google.com/scholar?cluster=9842538011139146721&hl=en&as_sdt=0,41",9842538011139146721,HTML,thelancet.com,https://www.thelancet.com/article/S1473-3099(20)30152-3/abstract
136,14,7,Pdf,Covid-19: Impact on the Indian economy,http://www.igidr.ac.in/pdf/publication/WP-2020-013.pdf,h6S4Gwtyt5EJ,"SM Dev, R Sengupta - Indira Gandhi Institute of Development Research …, 2020 - igidr.ac.in",… disease 2019 referred to as Covid-19. Accordingly in this chapter we use Covid-19 to refer to the disease. See: https://time.com/5818819/imf-coronavirus-economic-collapse/ …,270,"https://scholar.google.com/scholar?cites=10499986448272893063&as_sdt=5,41&sciodt=0,41&hl=en",10499986448272893063,6,"https://scholar.google.com/scholar?cluster=10499986448272893063&hl=en&as_sdt=0,41",10499986448272893063,PDF,igidr.ac.in,http://www.igidr.ac.in/pdf/publication/WP-2020-013.pdf
137,14,8,Html,Marketing in the era of COVID-19,https://link.springer.com/article/10.1007/s43039-020-00016-3,2W_Gl1NcdPQJ,"JC Hoekstra, PSH Leeflang - Italian Journal of Marketing, 2020 - Springer",We discuss the effects of COVID-19 on consumer behaviour and elaborate on the consequences of this disruption for marketing strategies and marketing policies. The crisis shows …,86,"https://scholar.google.com/scholar?cites=17614805556651257817&as_sdt=5,41&sciodt=0,41&hl=en",17614805556651257817,9,"https://scholar.google.com/scholar?cluster=17614805556651257817&hl=en&as_sdt=0,41",17614805556651257817,HTML,springer.com,https://link.springer.com/article/10.1007/s43039-020-00016-3
138,14,9,Html,COVID-19: the vasculature unleashed,https://www.nature.com/articles/s41577-020-0343-0,u6Rn0aLg_cwJ,"LA Teuwen, V Geldhof, A Pasut… - Nature Reviews …, 2020 - nature.com","… On the basis of emerging evidence from patients with COVID-19, we postulate that endothelial cells are essential contributors to the initiation and propagation of severe COVID-19. Here…",685,"https://scholar.google.com/scholar?cites=14771209342747649211&as_sdt=5,41&sciodt=0,41&hl=en",14771209342747649211,13,"https://scholar.google.com/scholar?cluster=14771209342747649211&hl=en&as_sdt=0,41",14771209342747649211,HTML,nature.com,https://www.nature.com/articles/s41577-020-0343-0
139,14,10,,A sociology of Covid-19,https://journals.sagepub.com/doi/abs/10.1177/1440783320939416,ZiTkn0MMfx8J,"S Matthewman, K Huppatz - Journal of Sociology, 2020 - journals.sagepub.com","The Covid-19 pandemic presents the profoundest public health and economic crisis of our times. The seemingly impossible has happened: borders have closed, nations have locked …",137,"https://scholar.google.com/scholar?cites=2269546221802890342&as_sdt=5,41&sciodt=0,41&hl=en",2269546221802890342,6,"https://scholar.google.com/scholar?cluster=2269546221802890342&hl=en&as_sdt=0,41",2269546221802890342,HTML,sagepub.com,https://journals.sagepub.com/doi/full/10.1177/1440783320939416
140,15,1,,A sociology of Covid-19,https://journals.sagepub.com/doi/abs/10.1177/1440783320939416,ZiTkn0MMfx8J,"S Matthewman, K Huppatz - Journal of Sociology, 2020 - journals.sagepub.com","The Covid-19 pandemic presents the profoundest public health and economic crisis of our times. The seemingly impossible has happened: borders have closed, nations have locked …",137,"https://scholar.google.com/scholar?cites=2269546221802890342&as_sdt=5,41&sciodt=0,41&hl=en",2269546221802890342,6,"https://scholar.google.com/scholar?cluster=2269546221802890342&hl=en&as_sdt=0,41",2269546221802890342,HTML,sagepub.com,https://journals.sagepub.com/doi/full/10.1177/1440783320939416
141,15,2,Html,Education and the COVID-19 pandemic,https://link.springer.com/article/10.1007/s11125-020-09464-3/,HHQN7rSGgB4J,"SJ Daniel - Prospects, 2020 - Springer",… should include varied assignments and work that puts COVID-19 in a global and historical … COVID-19 is the greatest challenge that these expanded national education systems have …,1525,"https://scholar.google.com/scholar?cites=2197904729802896412&as_sdt=5,41&sciodt=0,41&hl=en",2197904729802896412,11,"https://scholar.google.com/scholar?cluster=2197904729802896412&hl=en&as_sdt=0,41",2197904729802896412,HTML,springer.com,https://link.springer.com/article/10.1007/s11125-020-09464-3/
142,15,3,Html,COVID-19 and globalization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184197/,pOugqdRpTvkJ,"S Mas-Coma, MK Jones, AM Marty - One health, 2020 - ncbi.nlm.nih.gov","The world is experiencing a major pandemic caused by SARS-CoV-2, the Coronavirus causing COVID-19. This disease first entered the human population in Hubei province, China, in …",57,"https://scholar.google.com/scholar?cites=17964412325727366052&as_sdt=5,41&sciodt=0,41&hl=en",17964412325727366052,11,"https://scholar.google.com/scholar?cluster=17964412325727366052&hl=en&as_sdt=0,41",17964412325727366052,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7184197/
143,15,4,Html,"Allergic reactions including anaphylaxis after receipt of the first dose of Moderna COVID-19 vaccine—United States, December 21, 2020–January 10, 2021",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7842812/,7om_BObOAjoJ,"CDC COVID, R Team - Morbidity and Mortality Weekly Report, 2021 - ncbi.nlm.nih.gov","As of January 20, 2021, a total of 24,135,690 cases of coronavirus disease 2019 (COVID-19) and 400,306 associated deaths had been reported in the United States (https://covid. cdc. …",75,"https://scholar.google.com/scholar?cites=4180130891470703086&as_sdt=5,41&sciodt=0,41&hl=en",4180130891470703086,11,"https://scholar.google.com/scholar?cluster=4180130891470703086&hl=en&as_sdt=0,41",4180130891470703086,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7842812/
144,15,5,Html,The outbreak of COVID-19: An overview,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153464/,XhutTDFiUcsJ,"YC Wu, CS Chen, YJ Chan - Journal of the Chinese medical …, 2020 - ncbi.nlm.nih.gov","… Furthermore, cases associated with travel had been identified for SARS, MERS, and COVID-19. Because of global transportation and the popularity of tourism, COVID-19 is a genuine …",1274,"https://scholar.google.com/scholar?cites=14650599026692266846&as_sdt=5,41&sciodt=0,41&hl=en",14650599026692266846,21,"https://scholar.google.com/scholar?cluster=14650599026692266846&hl=en&as_sdt=0,41",14650599026692266846,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153464/
145,15,6,Pdf,Risk factors for COVID-19,https://www.infezmed.it/media/journal/Vol_28_4_2020_2.pdf,U-lN5wV3524J,"J Rashedi, B Mahdavi Poor, V Asgharzadeh… - Infez Med, 2020 - infezmed.it","… In this study, we evaluated risk factors in order to identifying high-risk individuals and therefore help to make preventative decisions to reduce disease and mortality and control …",68,"https://scholar.google.com/scholar?cites=7991486931031419219&as_sdt=5,41&sciodt=0,41&hl=en",7991486931031419219,9,"https://scholar.google.com/scholar?cluster=7991486931031419219&hl=en&as_sdt=0,41",7991486931031419219,PDF,infezmed.it,https://www.infezmed.it/media/journal/Vol_28_4_2020_2.pdf
146,15,7,,COVID-19 and anosmia: a review based on up-to-date knowledge,https://www.sciencedirect.com/science/article/pii/S0196070920302751,qQ2H3rLJpR0J,"X Meng, Y Deng, Z Dai, Z Meng - American journal of otolaryngology, 2020 - Elsevier",… in COVID-19 patients. Anosmia can occur alone or can be accompanied by other symptoms of COVID-… and its clinical characteristics in patients with COVID-19 remains unclear. Multiple …,285,"https://scholar.google.com/scholar?cites=2136335368331922857&as_sdt=5,41&sciodt=0,41&hl=en",2136335368331922857,13,"https://scholar.google.com/scholar?cluster=2136335368331922857&hl=en&as_sdt=0,41",2136335368331922857,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7265845/?fbclid=IwAR2IIAkkIEFuyKa_r35B021hPejXSw03nEKdVp2D6PeexDkupsAQE7yy9io
147,15,8,,Anosmia in COVID-19 patients,https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30294-9/abstract,byuiRx_lvtgJ,"D Hornuss, B Lange… - Clinical …, 2020 - clinicalmicrobiologyandinfection …","… In conclusion, all COVID-19 patients should be interviewed and if possible tested for olfactory disorders that often occur in COVID19. Some patients have presented solely with this …",146,"https://scholar.google.com/scholar?cites=15618172480276015983&as_sdt=5,41&sciodt=0,41&hl=en",15618172480276015983,13,"https://scholar.google.com/scholar?cluster=15618172480276015983&hl=en&as_sdt=0,41",15618172480276015983,PDF,clinicalmicrobiologyandinfection.com,https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30294-9/pdf
148,15,9,,COVID-19 related anagen effluvium,https://www.tandfonline.com/doi/abs/10.1080/09546634.2020.1792400,e_SShmbgi74J,"M Shanshal - Journal of Dermatological Treatment, 2022 - Taylor & Francis",New COVID-19 skin manifestations continue to be described. We present a patient with COVID-19 related anagen effluvium. The patient was treated with and responded to low dose …,31,"https://scholar.google.com/scholar?cites=13730314619918152827&as_sdt=5,41&sciodt=0,41&hl=en",13730314619918152827,7,"https://scholar.google.com/scholar?cluster=13730314619918152827&hl=en&as_sdt=0,41",13730314619918152827,,,
149,15,10,Book,Economics in the Age of COVID-19,https://books.google.com/books?hl=en&lr=&id=DmDeDwAAQBAJ&oi=fnd&pg=PT6&dq=covid&ots=iy4oUpIB5m&sig=T524sfkEc_OALFoKHQIqeWhERvk,JjF6WFMCbP8J,J Gans - 2020 - books.google.com,A guide to the pandemic economy: essential reading about the long-term implications of our current crisis. The COVID-19 pandemic has unleashed a firehose of information (much of it …,76,"https://scholar.google.com/scholar?cites=18405088334146318630&as_sdt=5,41&sciodt=0,41&hl=en",18405088334146318630,0,{},{},,,
150,16,1,,COVID‐19 and Inequalities,https://onlinelibrary.wiley.com/doi/abs/10.1111/1475-5890.12232,aAWK0uMRLQkJ,"R Blundell, M Costa Dias, R Joyce, X Xu - Fiscal studies, 2020 - Wiley Online Library",This paper brings together evidence from various data sources and the most recent studies to describe what we know so far about the impacts of the COVID‐19 crisis on inequalities …,537,"https://scholar.google.com/scholar?cites=661204390480840040&as_sdt=5,41&sciodt=0,41&hl=en",661204390480840040,14,"https://scholar.google.com/scholar?cluster=661204390480840040&hl=en&as_sdt=0,41",661204390480840040,PDF,wiley.com,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1475-5890.12232
151,16,2,Html,What is the impact of COVID-19 disease on agriculture?,http://www.scielo.org.pe/scielo.php?pid=S2077-99172020000100003&script=sci_arttext&tlng=en,GWfiD7uu6r8J,"R Siche - Scientia Agropecuaria, 2020 - scielo.org.pe","… effects in agriculture of events related to the disease of COVID-19. For this analysis, data from … There is sufficient evidence to affirm that the pandemic caused by the COVID-19 disease …",284,"https://scholar.google.com/scholar?cites=13829057724243142425&as_sdt=5,41&sciodt=0,41&hl=en",13829057724243142425,9,"https://scholar.google.com/scholar?cluster=13829057724243142425&hl=en&as_sdt=0,41",13829057724243142425,HTML,scielo.org.pe,http://www.scielo.org.pe/scielo.php?pid=S2077-99172020000100003&script=sci_arttext&tlng=en
152,16,3,Pdf,SnapShot: covid-19,https://www.cell.com/cell/pdf/S0092-8674(20)30475-X.pdf,6KIel9kioUYJ,"B Oberfeld, A Achanta, K Carpenter, P Chen… - Cell, 2020 - cell.com",Coronavirus disease 2019 (COVID-19) is a novel respiratory illness caused by SARS-CoV-2. Viral entry is mediated through viral spike protein and host ACE2 enzyme interaction. Most …,108,"https://scholar.google.com/scholar?cites=5089387371843986152&as_sdt=5,41&sciodt=0,41&hl=en",5089387371843986152,15,"https://scholar.google.com/scholar?cluster=5089387371843986152&hl=en&as_sdt=0,41",5089387371843986152,PDF,cell.com,https://www.cell.com/cell/pdf/S0092-8674(20)30475-X.pdf
153,16,4,,COVID-19 and the case for global development,https://www.sciencedirect.com/science/article/pii/S0305750X20301704,8NSz6_xe7vsJ,"JA Oldekop, R Horner, D Hulme, R Adhikari… - World …, 2020 - Elsevier","… COVID-19 accentuates the case for a global, rather than an … The COVID-19 pandemic has highlighted the falsity of any … by examining the implications of the COVID-19 pandemic across …",181,"https://scholar.google.com/scholar?cites=18153551588356248816&as_sdt=5,41&sciodt=0,41&hl=en",18153551588356248816,16,"https://scholar.google.com/scholar?cluster=18153551588356248816&hl=en&as_sdt=0,41",18153551588356248816,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305889/
154,16,5,,Neurological associations of COVID-19,https://www.sciencedirect.com/science/article/pii/S1474442220302210,J15rSZa16aUJ,"MA Ellul, L Benjamin, B Singh, S Lant, BD Michael… - The Lancet …, 2020 - Elsevier","… might be expected for COVID-19, given what is … for COVID-19, examine putative disease mechanisms, and finally suggest a framework for investigating patients with suspected COVID-…",1439,"https://scholar.google.com/scholar?cites=11955286342913187367&as_sdt=5,41&sciodt=0,41&hl=en",11955286342913187367,26,"https://scholar.google.com/scholar?cluster=11955286342913187367&hl=en&as_sdt=0,41",11955286342913187367,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7332267/
155,16,6,,Beware of the second wave of COVID-19,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30845-X/fulltext?,4UOh1kryimYJ,"S Xu, Y Li - The Lancet, 2020 - thelancet.com","… Multiple countries are now experiencing the first wave of the COVID-19 epidemic; thus, gaining an understanding of how these interventions prevented the transmission of SARS-CoV-2 …",555,"https://scholar.google.com/scholar?cites=7388984541897114593&as_sdt=5,41&sciodt=0,41&hl=en",7388984541897114593,8,"https://scholar.google.com/scholar?cluster=7388984541897114593&hl=en&as_sdt=0,41",7388984541897114593,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7194658/
156,16,7,Html,Association of state-issued mask mandates and allowing on-premises restaurant dining with county-level COVID-19 case and death growth rates—United …,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7951820/,YUG1F3-Fud8J,"…, JD Omura, GM Massetti, CDC COVID… - … and Mortality Weekly …, 2021 - ncbi.nlm.nih.gov","… In this study, mask mandates were associated with reductions in COVID-19 case … COVID-19 case and death growth rates after 40 days. With the emergence of more transmissible COVID…",69,"https://scholar.google.com/scholar?cites=16121063122054496609&as_sdt=5,41&sciodt=0,41&hl=en",16121063122054496609,15,"https://scholar.google.com/scholar?cluster=16121063122054496609&hl=en&as_sdt=0,41",16121063122054496609,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7951820/
157,16,8,,Pathogenesis of COVID-19 from a cell biology perspective,https://erj.ersjournals.com/content/55/4/2000607.short,ZGPGV0ebZ0UJ,"RJ Mason - European Respiratory Journal, 2020 - Eur Respiratory Soc","… COVID-19 is the disease caused by the SARS-CoV-2 virus. Although much is known about the mortality of the clinical disease, much less is known about its pathobiology …",700,"https://scholar.google.com/scholar?cites=5001136641935827812&as_sdt=5,41&sciodt=0,41&hl=en",5001136641935827812,21,"https://scholar.google.com/scholar?cluster=5001136641935827812&hl=en&as_sdt=0,41",5001136641935827812,HTML,ersjournals.com,https://erj.ersjournals.com/content/55/4/2000607
158,16,9,Html,Clinical characteristics of Covid-19 in New York city,https://www.nejm.org/doi/full/10.1056/NEJMc2010419,xF6Y-FpKwdcJ,"P Goyal, JJ Choi, LC Pinheiro… - … England Journal of …, 2020 - Mass Medical Soc",… consecutive patients with Covid-19 who were admitted to two hospitals in New York City. This retrospective case series includes adults 18 years of age or older with confirmed Covid-19 …,1908,"https://scholar.google.com/scholar?cites=15546789143237910212&as_sdt=5,41&sciodt=0,41&hl=en",15546789143237910212,8,"https://scholar.google.com/scholar?cluster=15546789143237910212&hl=en&as_sdt=0,41",15546789143237910212,HTML,nejm.org,https://www.nejm.org/doi/full/10.1056/NEJMc2010419
159,16,10,,COVID-19: the medium is the message,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30600-0/fulltext,1SfnNVQpUlgJ,"L Garrett - The lancet, 2020 - thelancet.com","… to convince the nation that the COVID-19 situation was “almost … at risk of infection to respond to COVID-19 with an appropriate … When WHO named the disease COVID-19, the choice was …",208,"https://scholar.google.com/scholar?cites=6364194665086265301&as_sdt=5,41&sciodt=0,41&hl=en",6364194665086265301,10,"https://scholar.google.com/scholar?cluster=6364194665086265301&hl=en&as_sdt=0,41",6364194665086265301,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154501/
160,17,1,Html,Clinical characteristics of Covid-19 in New York city,https://www.nejm.org/doi/full/10.1056/NEJMc2010419,xF6Y-FpKwdcJ,"P Goyal, JJ Choi, LC Pinheiro… - … England Journal of …, 2020 - Mass Medical Soc",… consecutive patients with Covid-19 who were admitted to two hospitals in New York City. This retrospective case series includes adults 18 years of age or older with confirmed Covid-19 …,1908,"https://scholar.google.com/scholar?cites=15546789143237910212&as_sdt=5,41&sciodt=0,41&hl=en",15546789143237910212,8,"https://scholar.google.com/scholar?cluster=15546789143237910212&hl=en&as_sdt=0,41",15546789143237910212,HTML,nejm.org,https://www.nejm.org/doi/full/10.1056/NEJMc2010419
161,17,2,,COVID-19: the medium is the message,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30600-0/fulltext,1SfnNVQpUlgJ,"L Garrett - The lancet, 2020 - thelancet.com","… to convince the nation that the COVID-19 situation was “almost … at risk of infection to respond to COVID-19 with an appropriate … When WHO named the disease COVID-19, the choice was …",208,"https://scholar.google.com/scholar?cites=6364194665086265301&as_sdt=5,41&sciodt=0,41&hl=en",6364194665086265301,10,"https://scholar.google.com/scholar?cluster=6364194665086265301&hl=en&as_sdt=0,41",6364194665086265301,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154501/
162,17,3,Pdf,"Coronavirus disease (COVID-19): situation report, 182",https://apps.who.int/iris/bitstream/handle/10665/333568/nCoVsitrep20Jul2020-eng.pdf,ixa3CkPlq0IJ,World Health Organization - 2020 - apps.who.int,"… them more vulnerable to COVID-19 and its severe effects. … a number of initiatives in the COVID-19 pandemic response, … the light of the recent increase in COVID-19 cases and related …",2909,"https://scholar.google.com/scholar?cites=4804185503626106507&as_sdt=5,41&sciodt=0,41&hl=en",4804185503626106507,53,"https://scholar.google.com/scholar?cluster=4804185503626106507&hl=en&as_sdt=0,41",4804185503626106507,PDF,who.int,https://apps.who.int/iris/bitstream/handle/10665/333568/nCoVsitrep20Jul2020-eng.pdf
163,17,4,Html,Traditional Chinese medicine for COVID-19 treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128263/,b5jiBLeafUIJ,"J Ren, AH Zhang, XJ Wang - Pharmacological research, 2020 - ncbi.nlm.nih.gov","… drug has been discovered for Coronavirus Disease 2019 (COVID-19). However, a number of … the treatment of COVID-19, bringing new hope for the prevention and control of COVID-19. …",487,"https://scholar.google.com/scholar?cites=4791155689443727471&as_sdt=5,41&sciodt=0,41&hl=en",4791155689443727471,11,"https://scholar.google.com/scholar?cluster=4791155689443727471&hl=en&as_sdt=0,41",4791155689443727471,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128263/
164,17,5,Html,COVID-19: a case for inhibiting IL-17?,https://www.nature.com/articles/s41577-020-0328-z,e4VPuXTRxBIJ,"O Pacha, MA Sallman, SE Evans - Nature Reviews Immunology, 2020 - nature.com",… due to coronavirus disease 2019 (COVID-19) are staggering. … COVID-19-related acute respiratory distress syndrome (ARDS) and present arguments why anti-IL-17 therapy in COVID…,206,"https://scholar.google.com/scholar?cites=1352436087373399419&as_sdt=5,41&sciodt=0,41&hl=en",1352436087373399419,9,"https://scholar.google.com/scholar?cluster=1352436087373399419&hl=en&as_sdt=0,41",1352436087373399419,HTML,nature.com,https://www.nature.com/articles/s41577-020-0328-z
165,17,6,,COVID-19 and medical education,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30226-7/fulltext,9laN6_DB-jEJ,"H Ahmed, M Allaf, H Elghazaly - The Lancet Infectious Diseases, 2020 - thelancet.com",The coronavirus disease 2019 (COVID-19) outbreak has rapidly transitioned into a worldwide pandemic. This development has had serious implications for public institutions and raises …,562,"https://scholar.google.com/scholar?cites=3601404092524353270&as_sdt=5,41&sciodt=0,41&hl=en",3601404092524353270,7,"https://scholar.google.com/scholar?cluster=3601404092524353270&hl=en&as_sdt=0,41",3601404092524353270,PDF,archive.org,https://scholar.archive.org/work/pmhqqahihbh6dd3ntmxopfanee/access/wayback/http://pafmj.org/art_pdf/30-3065-%20Shazia%20Tufail.pdf
166,17,7,,COVID-19: towards controlling of a pandemic,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30673-5/fulltext,WO-DzaAF6TIJ,"J Bedford, D Enria, J Giesecke, DL Heymann… - The lancet, 2020 - thelancet.com","… To respond to COVID-19, many countries are using a … to COVID-19, and many African, Asian, and Latin American nations are rapidly developing the capacity for PCR testing for COVID-…",1255,"https://scholar.google.com/scholar?cites=3668469559670861656&as_sdt=5,41&sciodt=0,41&hl=en",3668469559670861656,17,"https://scholar.google.com/scholar?cluster=3668469559670861656&hl=en&as_sdt=0,41",3668469559670861656,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7270596/
167,17,8,Pdf,"Covid-19 changed how the world does science, together",http://pre.bioethics.pitt.edu/sites/default/files/Covid-19%20Changed%20How%20the%20World%20Does%20Science%2C%20Together%20-%20NYTimes%20-%20April%201%202020.pdf,gFCc01O0WTAJ,"M Apuzzo, DD Kirkpatrick - The New York Times, 2020 - pre.bioethics.pitt.edu","While political leaders have locked their borders, scientists have been shattering theirs, creating a global collaboration unlike any in history. Never before, researchers say, have so …",81,"https://scholar.google.com/scholar?cites=3484014058873311360&as_sdt=5,41&sciodt=0,41&hl=en",3484014058873311360,3,"https://scholar.google.com/scholar?cluster=3484014058873311360&hl=en&as_sdt=0,41",3484014058873311360,PDF,pitt.edu,http://pre.bioethics.pitt.edu/sites/default/files/Covid-19%20Changed%20How%20the%20World%20Does%20Science%2C%20Together%20-%20NYTimes%20-%20April%201%202020.pdf
168,17,9,,The changing demographics of COVID-19,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30461-6/fulltext,AXnJln4g0zwJ,"P Venkatesan - The Lancet Respiratory Medicine, 2020 - thelancet.com","As societies around the world begin to reopen after many months of lockdown, a worrying shift is emerging in the demographic of COVID-19 cases towards individuals aged younger …",51,"https://scholar.google.com/scholar?cites=4382882590429378817&as_sdt=5,41&sciodt=0,41&hl=en",4382882590429378817,7,"https://scholar.google.com/scholar?cluster=4382882590429378817&hl=en&as_sdt=0,41",4382882590429378817,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7538108/
169,17,10,Html,All about COVID-19 in brief,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7152908/,Y4AeHoyKeAEJ,"A Naserghandi, SF Allameh… - New microbes and new …, 2020 - ncbi.nlm.nih.gov","A new coronavirus was discovered due to detection of an unfamiliar pneumonia in a group of patients in December 2019 in Wuhan, China, initially named as 2019 novel coronavirus (…",63,"https://scholar.google.com/scholar?cites=105986925648576611&as_sdt=5,41&sciodt=0,41&hl=en",105986925648576611,8,"https://scholar.google.com/scholar?cluster=105986925648576611&hl=en&as_sdt=0,41",105986925648576611,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7152908/
170,18,1,Html,COVID-19 and the immune system,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8648321/,7BMYJsYIjI4J,"J Paces, Z Strizova, S Daniel, J Cerny - Physiological research, 2020 - ncbi.nlm.nih.gov","… the mechanisms of immune responses in COVID-19 is based on short reports and commentaries. In this review, we discuss the immunological features of COVID-19 with the aim to …",186,"https://scholar.google.com/scholar?cites=10271594497260917740&as_sdt=5,41&sciodt=0,41&hl=en",10271594497260917740,13,"https://scholar.google.com/scholar?cluster=10271594497260917740&hl=en&as_sdt=0,41",10271594497260917740,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8648321/
171,18,2,,COVID‐19 diagnosis and management: a comprehensive review,https://onlinelibrary.wiley.com/doi/abs/10.1111/joim.13091,USZhU6xHnIEJ,"G Pascarella, A Strumia, C Piliego… - Journal of internal …, 2020 - Wiley Online Library","Severe acute respiratory syndrome coronavirus (SARS‐CoV)‐2, a novel coronavirus from the same family as SARS‐CoV and Middle East respiratory syndrome coronavirus, has spread …",1040,"https://scholar.google.com/scholar?cites=9339418532718388817&as_sdt=5,41&sciodt=0,41&hl=en",9339418532718388817,12,"https://scholar.google.com/scholar?cluster=9339418532718388817&hl=en&as_sdt=0,41",9339418532718388817,PDF,wiley.com,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/joim.13091
172,18,3,,Forecasting the impact of the first wave of the COVID-19 pandemic on hospital demand and deaths for the USA and European Economic Area countries,https://www.medrxiv.org/content/10.1101/2020.04.21.20074732.abstract,jR35b3B_sTkJ,"I COVID, CJL Murray - MedRxiv, 2020 - medrxiv.org",… COVID-19 deaths by day from local and national government websites and WHO. Data on hospital capacity and utilisation and observed COVID… clinical practices in COVID-19 patients. …,97,"https://scholar.google.com/scholar?cites=4157244051931340173&as_sdt=5,41&sciodt=0,41&hl=en",4157244051931340173,10,"https://scholar.google.com/scholar?cluster=4157244051931340173&hl=en&as_sdt=0,41",4157244051931340173,PDF,medrxiv.org,https://www.medrxiv.org/content/medrxiv/early/2020/04/26/2020.04.21.20074732.full.pdf
173,18,4,,The impact of covid-19 to indonesian education and its relation to the philosophy of “merdeka belajar”,https://scie-journal.com/index.php/SiPoSE/article/view/9,2bSljV6wax0J,"A Abidah, HN Hidaayatullaah… - Studies in Philosophy …, 2020 - scie-journal.com","The Covid-19 pandemic is now beginning to spread to the world of education. The Ministry of Education and Culture (MOEC) is currently based on official information, ready with all …",721,"https://scholar.google.com/scholar?cites=2119981969757811929&as_sdt=5,41&sciodt=0,41&hl=en",2119981969757811929,6,"https://scholar.google.com/scholar?cluster=2119981969757811929&hl=en&as_sdt=0,41",2119981969757811929,PDF,scie-journal.com,https://scie-journal.com/index.php/SiPoSE/article/download/9/5
174,18,5,,Areas of academic research with the impact of COVID-19,https://www.sciencedirect.com/science/article/pii/S0735675720302503,Q99mC9IR_4sJ,"A Haleem, M Javaid, R Vaishya… - The American journal of …, 2020 - Elsevier",… which are likely to be impacted by COVID-19. The main objectives of this paper are to provide awareness and to identify the research areas related to COVID-19. It may help improve the …,175,"https://scholar.google.com/scholar?cites=10087801284165295939&as_sdt=5,41&sciodt=0,41&hl=en",10087801284165295939,10,"https://scholar.google.com/scholar?cluster=10087801284165295939&hl=en&as_sdt=0,41",10087801284165295939,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7158762/
175,18,6,,Is COVID-19 receiving ADE from other coronaviruses?,https://www.sciencedirect.com/science/article/pii/S1286457920300344,lLbiqUnPCWQJ,"JA Tetro - Microbes and infection, 2020 - Elsevier",One of the most perplexing questions regarding the current COVID-19 coronavirus epidemic is the discrepancy between the severity of cases observed in the Hubei province of China …,409,"https://scholar.google.com/scholar?cites=7208520593872959124&as_sdt=5,41&sciodt=0,41&hl=en",7208520593872959124,16,"https://scholar.google.com/scholar?cluster=7208520593872959124&hl=en&as_sdt=0,41",7208520593872959124,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7102551/
